image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-4450","https://access.redhat.com/errata/RHSA-2023:1405 - twistlock","medium","1.1.1k-7.el8_6","1.1.1k-9.el8_7","2023-02-08",,"openssl;openssl-libs","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-45061","https://access.redhat.com/errata/RHSA-2023:0833 - twistlock","medium","3.6.8-48.el8_7","3.6.8-48.el8_7.1","2022-11-09",,"platform-python;python3-libs","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-48560","https://access.redhat.com/errata/RHSA-2024:0114 - twistlock","medium","3.6.8-48.el8_7","3.6.8-56.el8_9.2","2023-08-22",,"platform-python;python3-libs","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2022-48564","https://access.redhat.com/errata/RHSA-2024:0114 - twistlock","medium","3.6.8-48.el8_7","3.6.8-56.el8_9.2","2023-08-22",,"platform-python;python3-libs","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-0215","https://access.redhat.com/errata/RHSA-2023:1405 - twistlock","medium","1.1.1k-7.el8_6","1.1.1k-9.el8_7","2023-02-08",,"openssl;openssl-libs","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-0286","https://access.redhat.com/errata/RHSA-2023:1405 - twistlock","high","1.1.1k-7.el8_6","1.1.1k-9.el8_7","2023-02-08",,"openssl;openssl-libs","os",,"high - twistlock","7.4 - twistlock","7.4",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-0361","https://access.redhat.com/errata/RHSA-2023:1569 - twistlock","medium","3.6.16-5.el8_6","3.6.16-6.el8_7","2023-02-15",,"gnutls","os",,"medium - twistlock","7.4 - twistlock","7.4",,,,,"CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N",,"3","2","false",,"twistlock","nvd-status(modified)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-1667","https://access.redhat.com/errata/RHSA-2023:3839 - twistlock","medium","0.9.6-3.el8","0.9.6-10.el8_8","2023-05-26",,"libssh;libssh-config","os",,"medium - twistlock","4.3 - twistlock","4.3",,,,,"CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(awaiting analysis)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-2283","https://access.redhat.com/errata/RHSA-2023:3839 - twistlock","medium","0.9.6-3.el8","0.9.6-10.el8_8","2023-05-26",,"libssh;libssh-config","os",,"medium - twistlock","4.8 - twistlock","4.8",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N",,"3","2","false",,"twistlock","nvd-status(awaiting analysis)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2023-23916","https://access.redhat.com/errata/RHSA-2023:1140 - twistlock","medium","7.61.1-25.el8_7.1","7.61.1-25.el8_7.3","2023-02-23",,"curl;libcurl","os",,"medium - twistlock","6.5 - twistlock","6.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,"3","2","false",,"twistlock","nvd-status(analyzed)"
